transformation,runs,accuracy_mean,precision_mean,recall_mean,macro_f1_mean,macro_f1_std
crop_context_removal,3,0.9503001200480191,0.9508229535145656,0.9503001200480193,0.9502514125241129,0.007373266603699469
baseline_clean,4,0.9463985594237695,0.9470837473141921,0.9463985594237695,0.9462440629892228,0.009316407394600114
blur,3,0.9322128851540615,0.9333675937110546,0.9322128851540615,0.9321261260570677,0.016600887033700117
canny,1,0.8343337334933973,0.8432422590604908,0.8343337334933975,0.8341718086862671,
mosaic,3,0.8283313325330132,0.8299651910411491,0.8283313325330134,0.8279426680542924,0.027435923398147745
noise,3,0.7083633453381353,0.7120353899183192,0.7083633453381353,0.707032196887765,0.1187408866896625
